Название,Жанр,Режиссёр,Страна,Год,URL
"Чёрный уголь, тонкий лёд","фильм-триллер, неонуар",Дяо Инань,Китай,2014,"https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%83%D0%B3%D0%BE%D0%BB%D1%8C,_%D1%82%D0%BE%D0%BD%D0%BA%D0%B8%D0%B9_%D0%BB%D1%91%D0%B4"
Робер и Робер,комедия,Клод Лелуш,Франция,1978,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B5%D1%80_%D0%B8_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80
Караваджо,драма,Анджело Лонгони,Италия Франция Германия Испания,2007,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B0%D0%B4%D0%B6%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2007)"
Иона,драма,Валериу Жереги,СССР,1987,https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D0%BD%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Что случилось на 23 улице в Нью-Йорке,комедия,Джордж Флеминг Эдвин Портер,США,1901,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%BE%D1%81%D1%8C_%D0%BD%D0%B0_23-%D0%B9_%D1%83%D0%BB%D0%B8%D1%86%D0%B5_%D0%B2_%D0%9D%D1%8C%D1%8E-%D0%99%D0%BE%D1%80%D0%BA%D0%B5
Что случилось в туннеле,комедия,Эдвин Портер,США,1903,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%BE%D1%81%D1%8C_%D0%B2_%D1%82%D1%83%D0%BD%D0%BD%D0%B5%D0%BB%D0%B5
Что скрывает ложь,"триллер, драма, криминал",Джоэл Шумахер,США,2011,"https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D0%B5%D1%82_%D0%BB%D0%BE%D0%B6%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2011)"
Что сказал покойник,"детективный фильм, комедия, приключенческий фильм",Игорь Масленников,Россия,2000,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%BA%D0%B0%D0%B7%D0%B0%D0%BB_%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D0%B8%D0%BA_(%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB)
Что скрывает ложь,"фильм ужасов, триллер",Роберт Земекис,США,2000,"https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D0%B5%D1%82_%D0%BB%D0%BE%D0%B6%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2000)"
Что с тобой происходит?,мелодрама,Владимир Саруханов,СССР,1975,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81_%D1%82%D0%BE%D0%B1%D0%BE%D0%B9_%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%B8%D1%82%3F
