Название,Жанр,Режиссёр,Страна,Год,URL
Танец с ветром,мелодрама,Пак Чон Ву,Республика Корея,2004,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D1%81_%D0%B2%D0%B5%D1%82%D1%80%D0%BE%D0%BC
Танец на вулкане,"драма, немое кино",Рихард Айхберг,Германия,1920,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%BD%D0%B0_%D0%B2%D1%83%D0%BB%D0%BA%D0%B0%D0%BD%D0%B5
Танец на воде,драма,Нил Хименес Майкл Стейнберг,США,1992,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%BD%D0%B0_%D0%B2%D0%BE%D0%B4%D0%B5
Танец мотылька,драма,Ольгерт Дункерс,СССР,1971,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%BC%D0%BE%D1%82%D1%8B%D0%BB%D1%8C%D0%BA%D0%B0
Танец-вспышка,"романтическая драма,",Эдриан Лайн,США,1983,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86-%D0%B2%D1%81%D0%BF%D1%8B%D1%88%D0%BA%D0%B0
Танец мёртвых,"постапокалиптика, фантастика",Тоуб Хупер,США,2005,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%BC%D1%91%D1%80%D1%82%D0%B2%D1%8B%D1%85
Танец пьяного богомола,"боевик, комедия",Юнь Вопхин,Гонконг,1979,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%BF%D1%8C%D1%8F%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B1%D0%BE%D0%B3%D0%BE%D0%BC%D0%BE%D0%BB%D0%B0
Танец Лои Фуллер,документальный фильм,Уильям Диксон,США,1895,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%9B%D0%BE%D0%B8_%D0%A4%D1%83%D0%BB%D0%BB%D0%B5%D1%80
Танец дьявола,"фильм-балет, экранизация, фильм-триллер",Олег Григорович,Россия,1992,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0
«Танец Дели»,драма,Иван Вырыпаев,Россия,2012,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%94%D0%B5%D0%BB%D0%B8
Танец Буффало,документальный фильм,Уильям Диксон,США,1894,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%91%D1%83%D1%84%D1%84%D0%B0%D0%BB%D0%BE
Танец бабочки,документальный фильм,Уильям Диксон,США,1894,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B8
Тандем,"политический фильм, драма",Мани Ратнам,Индия,1997,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1997)"
Тандем,"драма, комедия",Патрис Леконт,Франция,1987,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1987)"
Танго,"музыкальный фильм, фильм-танго, драма",Карлос Саура,Испания Аргентина,1998,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1998)"
Танго-путаница,комедия,Мак Сеннет,США,1914,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE-%D0%BF%D1%83%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
Танго нашего детства,мелодрама,Альберт Мкртчян,СССР,1985,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_%D0%BD%D0%B0%D1%88%D0%B5%D0%B3%D0%BE_%D0%B4%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Танго над пропастью,"драма, боевик",Игорь Талпа,Молдова Россия,1997,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_%D0%BD%D0%B0%D0%B4_%D0%BF%D1%80%D0%BE%D0%BF%D0%B0%D1%81%D1%82%D1%8C%D1%8E
Танго втроём,"комедия, мелодрама",Дамон Сантостефано,США Австралия,1999,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_%D0%B2%D1%82%D1%80%D0%BE%D1%91%D0%BC
Танго Валентины,триллер,Рохелио Лобато,США,2007,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D1%8B
Танго и Кэш,"боевик, комедия","Альберт Магноли , Андрей Кончаловский",США,1989,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_%D0%B8_%D0%9A%D1%8D%D1%88
Тана,мелодрама,Кристач Дамо,НСРА,1958,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Таможня даёт добро,комедия,Дани Бун,Франция Бельгия,2010,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%BE%D0%B6%D0%BD%D1%8F_%D0%B4%D0%B0%D1%91%D1%82_%D0%B4%D0%BE%D0%B1%D1%80%D0%BE
Таможня,детектив,Александр Муратов,СССР,1982,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%BE%D0%B6%D0%BD%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1982)"
"Там, на неведомых дорожках…","сказка, семейный фильм",Михаил Юзовский,СССР,1982,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%BD%D0%B0_%D0%BD%D0%B5%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D1%8B%D1%85_%D0%B4%D0%BE%D1%80%D0%BE%D0%B6%D0%BA%D0%B0%D1%85%E2%80%A6"
Танго!,"музыкальный фильм, мелодрама",Луис Хосе Молья Барт,Аргентина,1933,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B3%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1933)"
"Там, за Перекопом…",документальный фильм,"Кристи, Леонид Михайлович",СССР,1975,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B7%D0%B0_%D0%9F%D0%B5%D1%80%D0%B5%D0%BA%D0%BE%D0%BF%D0%BE%D0%BC%E2%80%A6"
"Там, где цветут эдельвейсы",военный фильм,"Ефим Арон , Шарип Бейсембаев",СССР,1966,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D1%86%D0%B2%D0%B5%D1%82%D1%83%D1%82_%D1%8D%D0%B4%D0%B5%D0%BB%D1%8C%D0%B2%D0%B5%D0%B9%D1%81%D1%8B"
"Там, за горизонтом",драма,Юрий Егоров,СССР,1975,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B7%D0%B0_%D0%B3%D0%BE%D1%80%D0%B8%D0%B7%D0%BE%D0%BD%D1%82%D0%BE%D0%BC"
"Там, где течёт река",драма,Роберт Редфорд,США,1992,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D1%82%D0%B5%D1%87%D1%91%D1%82_%D1%80%D0%B5%D0%BA%D0%B0"
"Там, где сердце",мелодрама,Мэтт Уильямс,США,2000,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)"
"Там, где реки текут на север",драма,Джей Крэвен,США,1994,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D1%80%D0%B5%D0%BA%D0%B8_%D1%82%D0%B5%D0%BA%D1%83%D1%82_%D0%BD%D0%B0_%D1%81%D0%B5%D0%B2%D0%B5%D1%80"
"Там, где чудища живут","драма, приключения, семейный, сюрреализм",Спайк Джонз,США,2009,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%B6%D0%B8%D0%B2%D1%83%D1%82_%D1%87%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)"
"Там, где даже ангелы боятся появиться","драма, мелодрама",Чарльз Старридж,Великобритания,1991,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%B4%D0%B0%D0%B6%D0%B5_%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8B_%D0%B1%D0%BE%D1%8F%D1%82%D1%81%D1%8F_%D0%BF%D0%BE%D1%8F%D0%B2%D0%B8%D1%82%D1%8C%D1%81%D1%8F"
"Там, где видны фабричные трубы",фильм-драма,Хэйноскэ Госё,Япония,1953,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%B2%D0%B8%D0%B4%D0%BD%D1%8B_%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D1%87%D0%BD%D1%8B%D0%B5_%D1%82%D1%80%D1%83%D0%B1%D1%8B"
"Там, где бродит бизон","фильм-биография, кинокомедия, рок-музыка, ритм-н-блюз",Арт Линсон,США США,1980,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%B1%D1%80%D0%BE%D0%B4%D0%B8%D1%82_%D0%B1%D0%B8%D0%B7%D0%BE%D0%BD"
"Там, внутри","драма, триллер, неонуар",Стивен Содерберг,США,1995,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B8"
"Там, где мечтают зелёные муравьи",драма,Вернер Херцог,ФРГ Австралия,1984,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%BC%D0%B5%D1%87%D1%82%D0%B0%D1%8E%D1%82_%D0%B7%D0%B5%D0%BB%D1%91%D0%BD%D1%8B%D0%B5_%D0%BC%D1%83%D1%80%D0%B0%D0%B2%D1%8C%D0%B8"
"Там, где кончается тротуар",нуар,Отто Премингер,США,1950,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%BA%D0%BE%D0%BD%D1%87%D0%B0%D0%B5%D1%82%D1%81%D1%8F_%D1%82%D1%80%D0%BE%D1%82%D1%83%D0%B0%D1%80"
"Там, где длинная зима",драма,Александр Давидсон,СССР,1967,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC,_%D0%B3%D0%B4%D0%B5_%D0%B4%D0%BB%D0%B8%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B7%D0%B8%D0%BC%D0%B0"
Там обитают драконы,драма,Ролан Жоффе,США Испания Аргентина,2011,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC_%D0%BE%D0%B1%D0%B8%D1%82%D0%B0%D1%8E%D1%82_%D0%B4%D1%80%D0%B0%D0%BA%D0%BE%D0%BD%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Там ничего нет,"фильм ужасов, комедия",Рольф Канефски,США,1992,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC_%D0%BD%D0%B8%D1%87%D0%B5%D0%B3%D0%BE_%D0%BD%D0%B5%D1%82
Там весело,"драматический фильм, лгбт-фильм, романтический фильм, комедийный фильм",Roger Stigliano,США,1988,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC_%D0%B2%D0%B5%D1%81%D0%B5%D0%BB%D0%BE
"Там вдали, за рекой","истерн, трагикомедия",Михаил Ильенко,СССР,1975,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC_%D0%B2%D0%B4%D0%B0%D0%BB%D0%B8,_%D0%B7%D0%B0_%D1%80%D0%B5%D0%BA%D0%BE%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)"
Талли,трагикомедия,Джейсон Райтман,США,2018,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%BB%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Тали — Ихантала 1944,"военная, драма",Оке Линдман,Финляндия,2007,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B8_%E2%80%94_%D0%98%D1%85%D0%B0%D0%BD%D1%82%D0%B0%D0%BB%D0%B0_1944
Талисман дьявола,фильм ужасов,Дэвид Декото,США,1998,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B8%D1%81%D0%BC%D0%B0%D0%BD_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0
Такут: Лица страха,фильм ужасов,Robby Ertanto Ray Nayoan Rako Prijanto Riri Riza Raditya Sidharta Kimo Stamboel Timothy Tjahjanto,Индонезия,2008,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%83%D1%82:_%D0%9B%D0%B8%D1%86%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0
Таланты и поклонники,"драма, мелодрама",Андрей Апсолон Борис Дмоховский,СССР,1956,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BD%D1%82%D1%8B_%D0%B8_%D0%BF%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%B8%D0%BA%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1956)"
Талант,"история, экранизация",Владимир Довгань,СССР,1977,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BD%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Талант,"документальное кино, артхаус",Po98,Россия,2017,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BD%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2017)"
Талантливый мистер Рипли,"криминал, драма, триллер",Энтони Мингелла,США,1999,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BD%D1%82%D0%BB%D0%B8%D0%B2%D1%8B%D0%B9_%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%80_%D0%A0%D0%B8%D0%BF%D0%BB%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Тактическая сила,боевик,Адамо Культраро,США,2011,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D0%B8%D0%BB%D0%B0
Таксист,"драма, триллер, неонуар",Мартин Скорсезе,США,1976,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8%D1%81%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1976)"
Таксидермист,"драматический фильм, неонуар",Маттео Гарроне,Италия,2002,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8%D0%B4%D0%B5%D1%80%D0%BC%D0%B8%D1%81%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Таксидермия,"комедия, драма, фильм ужасов",Дьёрдь Пальфи,Венгрия Австрия Франция,2006,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8%D0%B4%D0%B5%D1%80%D0%BC%D0%B8%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Такси-блюз,драма,Павел Лунгин,СССР Франция,1990,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8-%D0%B1%D0%BB%D1%8E%D0%B7
Такси в Тобрук,"драма, военный фильм",Дени де Ла Пательер,Франция ФРГ Испания,1960,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_%D0%B2_%D0%A2%D0%BE%D0%B1%D1%80%D1%83%D0%BA
Такси до туалета,трагикомедия,Франк Риппло,ФРГ,1980,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_%D0%B4%D0%BE_%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%D0%B0
Такси 4,комедийный боевик,Жерар Кравчик,Франция,2007,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_4
Такси 5,комедийный боевик,Франк Гастамбид,Франция,2018,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_5
Такси 3,комедийный боевик,Жерар Кравчик,Франция,2003,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_3
Такси,драма,Джафар Панахи,Иран,2015,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2015)"
Такси 2,комедийный боевик,Жерар Кравчик,Франция,2000,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_2
Такси на тёмную сторону,"документальный фильм, , , , криминальный фильм, военный фильм",Алекс Гибни,США,2007,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_%D0%BD%D0%B0_%D1%82%D1%91%D0%BC%D0%BD%D1%83%D1%8E_%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83
Таксист,"драма, исторический, боевик",Чан Хуна,Республика Корея,2017,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8%D1%81%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2017)"
Такое лето,драматический фильм,Дени Коте,Канада,2022,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B5_%D0%BB%D0%B5%D1%82%D0%BE
Такси,"боевик, комедия, криминал",Жерар Пирес,Франция,1998,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D1%81%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1998)"
"Такой же предатель, как и мы",шпионский триллер,Сюзанна Уайт,Великобритания,2016,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B9_%D0%B6%D0%B5_%D0%BF%D1%80%D0%B5%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8C,_%D0%BA%D0%B0%D0%BA_%D0%B8_%D0%BC%D1%8B"
Такого рода любовь,драма,Джон Шлезингер,Великобритания,1962,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B3%D0%BE_%D1%80%D0%BE%D0%B4%D0%B0_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C
Таковы мужчины,драма,Георг Якоби,Германия,1922,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B2%D1%8B_%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD%D1%8B
Такое приятное убийство,"комедия, криминальный фильм, драма",Эдди Маталон,Канада Франция,1993,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B5_%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%BD%D0%BE%D0%B5_%D1%83%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE
Такова спортивная жизнь,"драма, спортивный",Линдсей Андерсон,Великобритания,1963,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B2%D0%B0_%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C
Такие разные судьбы,кинокомедия,Анри Верней,Франция,1954,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B8%D0%B5_%D1%80%D0%B0%D0%B7%D0%BD%D1%8B%D0%B5_%D1%81%D1%83%D0%B4%D1%8C%D0%B1%D1%8B
Такие красивые люди,философская драма,Дмитрий Моисеев,Украина,2013,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B8%D0%B5_%D0%BA%D1%80%D0%B0%D1%81%D0%B8%D0%B2%D1%8B%D0%B5_%D0%BB%D1%8E%D0%B4%D0%B8
Такие высокие горы,драма,Юлия Солнцева,СССР,1974,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B8%D0%B5_%D0%B2%D1%8B%D1%81%D0%BE%D0%BA%D0%B8%D0%B5_%D0%B3%D0%BE%D1%80%D1%8B
Такешиз,"комедия, драма",Такэси Китано,Япония,2005,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B5%D1%88%D0%B8%D0%B7
"Такая, как ты есть","драма, мелодрама",Альберто Латтуада,Италия Испания,1978,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F,_%D0%BA%D0%B0%D0%BA_%D1%82%D1%8B_%D0%B5%D1%81%D1%82%D1%8C"
"Такая она, игра","спортивная, драма","Николай Малецкий , Владимир Попков",СССР,1976,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F_%D0%BE%D0%BD%D0%B0,_%D0%B8%D0%B3%D1%80%D0%B0"
"Такая красотка, как я","комедия, криминальный фильм, драма",Франсуа Трюффо,Франция,1972,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F_%D0%BA%D1%80%D0%B0%D1%81%D0%BE%D1%82%D0%BA%D0%B0,_%D0%BA%D0%B0%D0%BA_%D1%8F"
Такая короткая долгая жизнь,драма,Константин Худяков,СССР,1975,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F_%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D0%BB%D0%B3%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C
Такая жёсткая игра - хоккей,"драма, спортивный фильм",Андрей Разумовский,СССР,1983,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F_%D0%B6%D1%91%D1%81%D1%82%D0%BA%D0%B0%D1%8F_%D0%B8%D0%B3%D1%80%D0%B0_%E2%80%94_%D1%85%D0%BE%D0%BA%D0%BA%D0%B5%D0%B9
Такая женщина,"драма, мелодрама, кинокомедия, экранизация",Сидни Люмет,США,1958,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F_%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%D0%B0
Такер: Человек и его мечта,"драма, биографический",Фрэнсис Форд Коппола,США,1988,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B5%D1%80:_%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%BC%D0%B5%D1%87%D1%82%D0%B0
"Такая длинная, длинная дорога…",драматический фильм,Виктор Окунцов,СССР,1972,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BB%D0%B8%D0%BD%D0%BD%D0%B0%D1%8F,_%D0%B4%D0%BB%D0%B8%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B0%E2%80%A6"
Так хочет леди,"комедия, мелодрама, драма",Митчелл Лейзен,США,1942,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D1%85%D0%BE%D1%87%D0%B5%D1%82_%D0%BB%D0%B5%D0%B4%D0%B8
Так сложно любить отаку,"романтическая комедия, драматический фильм",Юити Фукуда,Япония,2020,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D0%BE_%D0%BB%D1%8E%D0%B1%D0%B8%D1%82%D1%8C_%D0%BE%D1%82%D0%B0%D0%BA%D1%83_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Так сложились звёзды,байопик,Сергей Снежкин,Казахстан Россия,2016,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D1%81%D0%BB%D0%BE%D0%B6%D0%B8%D0%BB%D0%B8%D1%81%D1%8C_%D0%B7%D0%B2%D1%91%D0%B7%D0%B4%D1%8B
Так себе каникулы,комедия,Уолт Беккер,США,2009,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D1%81%D0%B5%D0%B1%D0%B5_%D0%BA%D0%B0%D0%BD%D0%B8%D0%BA%D1%83%D0%BB%D1%8B
Такие разные близнецы,комедия,Деннис Дуган,США,2011,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%B8%D0%B5_%D1%80%D0%B0%D0%B7%D0%BD%D1%8B%D0%B5_%D0%B1%D0%BB%D0%B8%D0%B7%D0%BD%D0%B5%D1%86%D1%8B
Так и будет,"драматический фильм, военный фильм",Лев Мирский,СССР,1979,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D0%B8_%D0%B1%D1%83%D0%B4%D0%B5%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Счёт человеческий,драматический фильм,Александр Светлов,СССР,1977,https://ru.wikipedia.org/wiki/%D0%A1%D1%87%D1%91%D1%82_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9
Так начиналась легенда,"биография, исторический фильм, драма",Борис Григорьев,СССР,1976,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D0%B0%D0%BB%D0%B0%D1%81%D1%8C_%D0%BB%D0%B5%D0%B3%D0%B5%D0%BD%D0%B4%D0%B0
Так называемый,драма,Дункан Рой,Великобритания,2002,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA_%D0%BD%D0%B0%D0%B7%D1%8B%D0%B2%D0%B0%D0%B5%D0%BC%D1%8B%D0%B9
Считайте часы,"фильм нуар, триллер",Дон Сигел,США,1953,https://ru.wikipedia.org/wiki/%D0%A1%D1%87%D0%B8%D1%82%D0%B0%D0%B9%D1%82%D0%B5_%D1%87%D0%B0%D1%81%D1%8B
